股票代码,股票名,行业分类,二级行业,买入日期,卖出日期,买入价格(前复权),卖出价格(前复权),涨幅,相对收益(999999)
002114,罗平锌电,有色金属,工业金属,2025-03-03,2025-03-10,6.46,7.83,0.2121,0.170239075155582
600892,大晟文化,传媒,游戏,2025-02-24,2025-03-10,3.59,3.38,-0.0585,-0.089606955230219
002058,威尔泰,机械设备,通用设备,2025-02-24,2025-03-10,11.46,10.95,-0.0445,-0.075606955230219
002211,宏达新材,基础化工,化学制品,2025-02-24,2025-03-03,4.11,4.03,-0.0195,-0.00917811407668949
600358,国旅联合,传媒,广告营销,2025-02-24,2025-03-03,3.72,3.81,0.0242,0.0345218859233105
600193,创兴资源,建筑装饰,装修装饰,2025-02-17,2025-03-03,3.9,3.86,-0.0103,-0.0178284717500077
603717,天域生物,建筑装饰,基础建设,2025-02-24,2025-03-03,7.99,7.25,-0.0926,-0.0822781140766895
600421,华嵘控股,机械设备,通用设备,2025-02-24,2025-03-03,7.25,6.86,-0.0538,-0.0434781140766895
688260,昀冢科技,电子,消费电子,2025-02-24,2025-03-03,18.26,15.87,-0.1309,-0.12057811407669
003042,中农联合,基础化工,农化制品,2025-02-17,2025-02-24,16.37,16.32,-0.0031,-0.0211365286646473
002306,中科云网,社会服务,酒店餐饮,2025-02-17,2025-02-24,2.69,2.59,-0.0372,-0.0552365286646473
000004,国华网安,计算机,软件开发,2025-01-24,2025-02-24,10.53,12.78,0.2137,0.0996644731863696
002858,力盛体育,社会服务,体育,2025-02-10,2025-02-24,12.81,12.21,-0.0468,-0.0815317376547241
002529,海源复材,机械设备,专用设备,2025-02-17,2025-02-24,7.49,7.28,-0.028,-0.0460365286646473
603900,莱绅通灵,纺织服饰,饰品,2025-02-17,2025-02-24,6.04,6,-0.0065,-0.0245365286646473
688288,鸿泉物联,计算机,计算机设备,2025-02-17,2025-02-24,21.19,21.82,0.0297,0.0116634713353527
000679,大连友谊,商贸零售,一般零售,2025-02-10,2025-02-24,6.34,6.9,0.0883,0.053568262345276
002199,东晶电子,电子,元件,2025-01-24,2025-02-17,5.95,7.27,0.2218,0.127501813789625
002816,和科达,机械设备,专用设备,2025-02-10,2025-02-17,14.4,15.14,0.0514,0.03500057962559
600539,狮头股份,商贸零售,互联网电商,2025-01-24,2025-02-17,7.15,9.46,0.3231,0.228801813789625
600358,国旅联合,传媒,广告营销,2025-01-24,2025-02-17,3.48,3.69,0.0603,-0.0339981862103753
688260,昀冢科技,电子,消费电子,2025-02-10,2025-02-17,15.91,18.3,0.1502,0.13380057962559
002205,国统股份,建筑材料,水泥,2025-02-10,2025-02-17,9.5,9.47,-0.0032,-0.01959942037441
688288,鸿泉物联,计算机,计算机设备,2025-01-24,2025-02-10,19.96,21.17,0.0606,-0.0160418833722573
000632,三木集团,综合,综合,2025-01-24,2025-02-10,3.55,3.72,0.0479,-0.0287418833722573
002795,永和智控,机械设备,通用设备,2025-01-24,2025-02-10,4.96,4.97,0.002,-0.0746418833722573
002789,建艺集团,建筑装饰,装修装饰,2025-01-24,2025-02-10,6.61,7.78,0.177,0.100358116627743
600243,青海华鼎,机械设备,通用设备,2025-01-24,2025-02-10,2.88,3.33,0.1562,0.0795581166277427
600802,福建水泥,建筑材料,水泥,2025-01-17,2025-01-24,3.66,3.79,0.0355,0.0271894281795681
002719,麦趣尔,食品饮料,休闲食品,2025-01-17,2025-01-24,7.61,7.26,-0.046,-0.0543105718204319
688038,中科通达,计算机,软件开发,2025-01-17,2025-01-24,12.29,14.23,0.1579,0.149589428179568
603356,华菱精工,机械设备,专用设备,2025-01-17,2025-01-24,13.41,12.72,-0.0515,-0.0598105718204319
002207,准油股份,石油石化,油服工程,2025-01-17,2025-01-24,5.49,5.11,-0.0692,-0.0775105718204319
002621,美吉姆,社会服务,教育,2024-04-24,2024-08-06,1.51,0.37,-0.755,-0.771688816666988
600836,上海易连,轻工制造,包装印刷,2024-04-24,2024-07-16,1.66,0.45,-0.7289,-0.684901679517747
000609,中迪投资,房地产,房地产开发,2024-04-24,2024-06-11,3.65,1.27,-0.6521,-0.610614650528262
603963,大理药业,医药生物,中药,2024-04-24,2024-05-27,7.91,4.28,-0.4589,-0.533580212847717
603388,元成股份,建筑装饰,基础建设,2024-04-24,2024-05-27,4.75,2.38,-0.4989,-0.573580212847717
002207,准油股份,石油石化,油服工程,2024-04-10,2024-05-06,5.97,5.5,-0.0787,-0.0803648538201494
603729,龙韵股份,传媒,广告营销,2024-04-10,2024-05-06,20.11,19.12,-0.0492,-0.0508648538201494
002795,永和智控,机械设备,通用设备,2024-04-24,2024-05-06,4.22,4.53,0.0735,-0.0145928015157203
002842,翔鹭钨业,有色金属,小金属,2024-04-24,2024-05-06,5.76,6.28,0.0903,0.00220719848427971
002713,东易日盛,建筑装饰,装修装饰,2024-04-24,2024-05-06,2.86,3.02,0.057,-0.0310928015157203
603716,塞力医疗,医药生物,医药商业,2024-04-17,2024-04-24,6.66,6.73,0.0105,-0.0217585091550316
002719,麦趣尔,食品饮料,饮料乳品,2024-04-01,2024-04-24,8.88,6.92,-0.2207,-0.092931653472577
002858,力盛体育,社会服务,体育,2024-04-17,2024-04-24,10.48,11.17,0.0658,0.0335414908449684
002205,国统股份,建筑材料,水泥,2024-04-17,2024-04-24,6.84,7.04,0.0292,-0.00305850915503159
688328,深科达,机械设备,专用设备,2024-04-17,2024-04-24,14.68,15.21,0.0358,0.00354149084496841
600355,精伦电子,通信,通信设备,2024-04-17,2024-04-24,3.19,3.27,0.0251,-0.00715850915503159
002199,东晶电子,电子,元件,2024-04-17,2024-04-24,5.57,5.69,0.0215,-0.0107585091550316
002316,亚联发展,非银金融,多元金融,2024-04-17,2024-04-24,3.54,3.65,0.0311,-0.00115850915503159
600847,万里股份,电力设备,电池,2024-04-10,2024-04-17,8.13,6.72,-0.1734,-0.0652011476675742
603139,康惠制药,医药生物,中药,2024-04-10,2024-04-17,16.19,13.39,-0.1729,-0.0647011476675742
600213,亚星客车,汽车,商用车,2024-04-10,2024-04-17,6.47,5.48,-0.153,-0.0448011476675742
000622,恒立实业,综合,综合,2024-04-10,2024-04-17,3.12,2.71,-0.1314,-0.0232011476675742
002848,高斯贝尔,家用电器,黑色家电,2024-04-01,2024-04-17,9.9,7.3,-0.2626,-0.10757405033411
002806,华锋股份,汽车,汽车零部件,2024-04-10,2024-04-17,10.68,7.82,-0.2678,-0.159601147667574
002842,翔鹭钨业,有色金属,小金属,2024-04-10,2024-04-17,7.16,5.71,-0.2025,-0.0943011476675743
002861,瀛通通讯,电子,消费电子,2024-04-01,2024-04-10,10.74,10.34,-0.0373,0.0152084515263703
002621,美吉姆,社会服务,教育,2024-04-01,2024-04-10,2.37,1.97,-0.1688,-0.11629154847363
600355,精伦电子,通信,通信设备,2024-04-01,2024-04-10,4.2,3.74,-0.1095,-0.0569915484736297
605178,时空科技,建筑装饰,专业工程,2024-04-01,2024-04-10,20.25,16.39,-0.1906,-0.13809154847363
000004,国华网安,计算机,软件开发,2024-04-01,2024-04-10,14.98,12.56,-0.1615,-0.10899154847363
603389,亚振家居,轻工制造,家居用品,2024-04-01,2024-04-10,6.69,4.96,-0.2586,-0.20609154847363
002798,帝欧家居,轻工制造,家居用品,2024-04-01,2024-04-10,4.84,4.21,-0.1302,-0.0776915484736297
600243,青海华鼎,机械设备,通用设备,2024-04-01,2024-04-10,4.35,4.12,-0.0529,-0.00039154847362971
603021,山东华鹏,轻工制造,家居用品,2024-03-25,2024-04-01,4.31,4.39,0.0186,-0.0314942930214672
600302,标准股份,机械设备,专用设备,2024-03-25,2024-04-01,4.84,5.05,0.0434,-0.00669429302146717
002862,实丰文化,轻工制造,文娱用品,2024-03-25,2024-04-01,10.49,10.16,-0.032,-0.0820942930214672
600213,亚星客车,汽车,商用车,2024-03-18,2024-04-01,6.81,6.75,-0.0088,-0.0417382482410068
002058,威尔泰,机械设备,通用设备,2024-03-25,2024-04-01,11.88,12.32,0.037,-0.0130942930214672
600234,科新发展,建筑装饰,装修装饰,2024-03-25,2024-04-01,6.71,6.29,-0.0626,-0.112694293021467
603716,塞力医疗,医药生物,医药商业,2024-03-25,2024-04-01,8.84,8.11,-0.0826,-0.132694293021467
603316,诚邦股份,建筑装饰,基础建设,2024-03-25,2024-04-01,5.87,5.55,-0.0545,-0.104594293021467
603356,华菱精工,机械设备,专用设备,2024-03-18,2024-04-01,15.07,12.99,-0.138,-0.170938248241007
002316,亚联发展,非银金融,多元金融,2024-03-18,2024-04-01,4.66,4.46,-0.0429,-0.0758382482410068
002591,恒大高新,基础化工,化学制品,2024-03-04,2024-03-25,4.84,5.28,0.0909,-0.00822204185760288
605081,太和水,环保,环境治理,2024-03-18,2024-03-25,12,11.51,-0.0408,-0.0244623768984624
000757,浩物股份,汽车,汽车服务,2024-03-18,2024-03-25,3.73,3.6,-0.0349,-0.0185623768984624
688328,深科达,机械设备,专用设备,2024-03-11,2024-03-25,20.14,19.58,-0.0276,-0.0926401694376497
603838,四通股份,轻工制造,家居用品,2024-03-18,2024-03-25,5.7,5.45,-0.0439,-0.0275623768984624
000929,兰州黄河,食品饮料,非白酒,2024-03-18,2024-03-25,8.35,7.65,-0.0838,-0.0674623768984624
002114,罗平锌电,有色金属,工业金属,2024-03-11,2024-03-25,5.4,5.45,0.0093,-0.0557401694376497
002848,高斯贝尔,家用电器,黑色家电,2024-03-11,2024-03-18,8.48,8.98,0.059,-0.0237293942010627
603042,华脉科技,通信,通信设备,2024-02-26,2024-03-18,11,12.2,0.1091,0.0165300937632955
603879,永悦科技,基础化工,塑料,2024-03-11,2024-03-18,4.88,7.87,0.6127,0.529970605798937
000004,国华网安,计算机,软件开发,2024-03-04,2024-03-18,13.1,15.62,0.1924,0.075022668437121
002231,奥维通信,国防军工,军工电子,2024-03-11,2024-03-18,4.7,4.98,0.0596,-0.0231293942010627
002621,美吉姆,社会服务,教育,2024-02-19,2024-03-18,1.55,2.37,0.529,0.206621809543559
600302,标准股份,机械设备,专用设备,2024-03-11,2024-03-18,4.66,4.78,0.0258,-0.0569293942010627
000953,河化股份,医药生物,化学制药,2024-03-04,2024-03-11,3.64,3.58,-0.0165,-0.0485005511509944
603021,山东华鹏,轻工制造,家居用品,2024-03-04,2024-03-11,3.68,3.83,0.0408,0.00879944884900558
002199,东晶电子,电子,元件,2024-03-04,2024-03-11,6.18,6.23,0.0081,-0.0239005511509944
002316,亚联发展,非银金融,多元金融,2024-02-02,2024-03-11,3.68,4.35,0.1821,0.0997917094306285
603388,元成股份,建筑装饰,基础建设,2024-02-19,2024-03-11,4.71,6.75,0.4331,0.211762334708098
002862,实丰文化,轻工制造,文娱用品,2024-02-26,2024-03-11,8.73,8.9,0.0196,0.0105113836861305
002861,瀛通通讯,电子,消费电子,2024-02-19,2024-03-04,7.14,9.44,0.3215,0.138033902109123
603963,大理药业,医药生物,中药,2024-02-26,2024-03-04,8.22,7.9,-0.0389,-0.0166985246116671
600213,亚星客车,汽车,商用车,2024-02-26,2024-03-04,6.6,6.18,-0.0636,-0.0413985246116671
000622,恒立实业,综合,综合,2024-02-26,2024-03-04,3.02,2.81,-0.0695,-0.0472985246116671
