股票代码,股票名,行业分类,二级行业,买入日期,卖出日期,买入价格(前复权),卖出价格(前复权),涨幅,相对收益(999999)
002058,威尔泰,机械设备,通用设备,2025-02-24,2025-03-03,11.46,10.64,-0.0716,-0.0612781140766895
002858,力盛体育,社会服务,体育,2025-02-10,2025-02-24,12.81,12.21,-0.0468,-0.0815317376547241
000004,国华网安,计算机,软件开发,2025-01-24,2025-02-24,10.53,12.78,0.2137,0.0996644731863696
603900,莱绅通灵,纺织服饰,饰品,2025-02-17,2025-02-24,6.04,6,-0.0065,-0.0245365286646473
300030,阳普医疗,医药生物,医疗器械,2025-02-17,2025-02-24,6.45,6.23,-0.0341,-0.0521365286646473
002529,海源复材,机械设备,专用设备,2025-02-17,2025-02-24,7.49,7.28,-0.028,-0.0460365286646473
002306,中科云网,社会服务,酒店餐饮,2025-02-17,2025-02-24,2.69,2.59,-0.0372,-0.0552365286646473
000679,大连友谊,商贸零售,一般零售,2025-02-10,2025-02-24,6.34,6.9,0.0883,0.053568262345276
300839,博汇股份,石油石化,炼化及贸易,2025-02-17,2025-02-24,7.85,8.03,0.0229,0.00486347133535267
300472,新元科技,机械设备,专用设备,2025-02-10,2025-02-17,8.06,8.87,0.1005,0.08410057962559
002205,国统股份,建筑材料,水泥,2025-02-10,2025-02-17,9.5,9.47,-0.0032,-0.01959942037441
002816,和科达,机械设备,专用设备,2025-02-10,2025-02-17,14.4,15.14,0.0514,0.03500057962559
600539,狮头股份,商贸零售,互联网电商,2025-01-24,2025-02-17,7.15,9.46,0.3231,0.228801813789625
600358,国旅联合,传媒,广告营销,2025-01-24,2025-02-17,3.48,3.69,0.0603,-0.0339981862103753
300391,长药控股,医药生物,中药,2025-02-10,2025-02-17,4.83,4.91,0.0166,0.000200579625589999
002795,永和智控,机械设备,通用设备,2025-01-24,2025-02-10,4.96,4.97,0.002,-0.0746418833722573
600243,青海华鼎,机械设备,通用设备,2025-01-24,2025-02-10,2.88,3.33,0.1562,0.0795581166277427
002199,东晶电子,电子,元件,2025-01-24,2025-02-10,5.95,7.38,0.2403,0.163658116627743
688288,鸿泉物联,计算机,计算机设备,2025-01-24,2025-02-10,19.96,21.17,0.0606,-0.0160418833722573
002789,建艺集团,建筑装饰,装修装饰,2025-01-24,2025-02-10,6.61,7.78,0.177,0.100358116627743
000632,三木集团,综合,综合,2025-01-24,2025-02-10,3.55,3.72,0.0479,-0.0287418833722573
603356,华菱精工,机械设备,专用设备,2025-01-17,2025-01-24,13.41,12.72,-0.0515,-0.0598105718204319
688038,中科通达,计算机,软件开发,2025-01-17,2025-01-24,12.29,14.23,0.1579,0.149589428179568
002207,准油股份,石油石化,油服工程,2025-01-17,2025-01-24,5.49,5.11,-0.0692,-0.0775105718204319
300736,百邦科技,电子,其他电子,2025-01-17,2025-01-24,9.26,9.22,-0.0043,-0.0126105718204319
600802,福建水泥,建筑材料,水泥,2025-01-17,2025-01-24,3.66,3.79,0.0355,0.0271894281795681
002719,麦趣尔,食品饮料,休闲食品,2025-01-17,2025-01-24,7.61,7.26,-0.046,-0.0543105718204319
600836,上海易连,轻工制造,包装印刷,2024-04-24,2024-07-16,1.66,0.45,-0.7289,-0.684901679517747
000609,中迪投资,房地产,房地产开发,2024-04-24,2024-06-11,3.65,1.27,-0.6521,-0.610614650528262
603963,大理药业,医药生物,中药,2024-04-24,2024-05-27,7.91,4.28,-0.4589,-0.533580212847717
603729,龙韵股份,传媒,广告营销,2024-04-10,2024-05-06,20.11,19.12,-0.0492,-0.0508648538201494
300152,新动力,环保,环境治理,2024-04-24,2024-05-06,2.25,2.27,0.0089,-0.0791928015157203
002842,翔鹭钨业,有色金属,小金属,2024-04-24,2024-05-06,5.76,6.28,0.0903,0.00220719848427971
